id,code,name,breadcrumb,level,parent_code
1,11,Aceh,Aceh,1,
2,12,"Sumatera Utara","Sumatera Utara",1,
3,13,"Sumatera Barat","Sumatera Barat",1,
4,14,Riau,Riau,1,
5,15,Jambi,Jambi,1,
6,16,"Sumatera Selatan","Sumatera Selatan",1,
7,17,Bengkulu,Bengkulu,1,
8,18,Lampung,Lampung,1,
9,19,"Kepulauan Bangka Belitung","Kepulauan Bangka Belitung",1,
10,21,"Kepulauan Riau","Kepulauan Riau",1,
11,31,"Daerah Khusus Ibukota Jakarta","Daerah Khusus Ibukota Jakarta",1,
12,32,"Jawa Barat","Jawa Barat",1,
13,33,"Jawa Tengah","Jawa Tengah",1,
14,34,"Daerah Istimewa Yogyakarta","Daerah Istimewa Yogyakarta",1,
15,35,"Jawa Timur","Jawa Timur",1,
16,36,Banten,Banten,1,
17,51,Bali,Bali,1,
18,52,"Nusa Tenggara Barat","Nusa Tenggara Barat",1,
19,53,"Nusa Tenggara Timur","Nusa Tenggara Timur",1,
20,61,"Kalimantan Barat","Kalimantan Barat",1,
21,62,"Kalimantan Tengah","Kalimantan Tengah",1,
22,63,"Kalimantan Selatan","Kalimantan Selatan",1,
23,64,"Kalimantan Timur","Kalimantan Timur",1,
24,65,"Kalimantan Utara","Kalimantan Utara",1,
25,71,"Sulawesi Utara","Sulawesi Utara",1,
26,72,"Sulawesi Tengah","Sulawesi Tengah",1,
27,73,"Sulawesi Selatan","Sulawesi Selatan",1,
28,74,"Sulawesi Tenggara","Sulawesi Tenggara",1,
29,75,Gorontalo,Gorontalo,1,
30,76,"Sulawesi Barat","Sulawesi Barat",1,
31,81,Maluku,Maluku,1,
32,82,"Maluku Utara","Maluku Utara",1,
33,91,Papua,Papua,1,
34,92,"Papua Barat","Papua Barat",1,
35,93,"Papua Selatan","Papua Selatan",1,
36,94,"Papua Tengah","Papua Tengah",1,
37,95,"Papua Pegunungan","Papua Pegunungan",1,
38,96,"Papua Barat Daya","Papua Barat Daya",1,
39,11.01,"Kabupaten Aceh Selatan","Kabupaten Aceh Selatan, Aceh",2,11
40,11.02,"Kabupaten Aceh Tenggara","Kabupaten Aceh Tenggara, Aceh",2,11
41,11.03,"Kabupaten Aceh Timur","Kabupaten Aceh Timur, Aceh",2,11
42,11.04,"Kabupaten Aceh Tengah","Kabupaten Aceh Tengah, Aceh",2,11
43,11.05,"Kabupaten Aceh Barat","Kabupaten Aceh Barat, Aceh",2,11
44,11.06,"Kabupaten Aceh Besar","Kabupaten Aceh Besar, Aceh",2,11
45,11.07,"Kabupaten Pidie","Kabupaten Pidie, Aceh",2,11
46,11.08,"Kabupaten Aceh Utara","Kabupaten Aceh Utara, Aceh",2,11
47,11.09,"Kabupaten Simeulue","Kabupaten Simeulue, Aceh",2,11
48,11.10,"Kabupaten Aceh Singkil","Kabupaten Aceh Singkil, Aceh",2,11
49,11.11,"Kabupaten Bireuen","Kabupaten Bireuen, Aceh",2,11
50,11.12,"Kabupaten Aceh Barat Daya","Kabupaten Aceh Barat Daya, Aceh",2,11
51,11.13,"Kabupaten Gayo Lues","Kabupaten Gayo Lues, Aceh",2,11
52,11.14,"Kabupaten Aceh Jaya","Kabupaten Aceh Jaya, Aceh",2,11
53,11.15,"Kabupaten Nagan Raya","Kabupaten Nagan Raya, Aceh",2,11
54,11.16,"Kabupaten Aceh Tamiang","Kabupaten Aceh Tamiang, Aceh",2,11
55,11.17,"Kabupaten Bener Meriah","Kabupaten Bener Meriah, Aceh",2,11
56,11.18,"Kabupaten Pidie Jaya","Kabupaten Pidie Jaya, Aceh",2,11
57,11.71,"Kota Banda Aceh","Kota Banda Aceh, Aceh",3,11
58,11.72,"Kota Sabang","Kota Sabang, Aceh",3,11
59,11.73,"Kota Lhokseumawe","Kota Lhokseumawe, Aceh",3,11
60,11.74,"Kota Langsa","Kota Langsa, Aceh",3,11
61,11.75,"Kota Subulussalam","Kota Subulussalam, Aceh",3,11
62,12.01,"Kabupaten Tapanuli Tengah","Kabupaten Tapanuli Tengah, Sumatera Utara",2,12
63,12.02,"Kabupaten Tapanuli Utara","Kabupaten Tapanuli Utara, Sumatera Utara",2,12
64,12.03,"Kabupaten Tapanuli Selatan","Kabupaten Tapanuli Selatan, Sumatera Utara",2,12
65,12.04,"Kabupaten Nias","Kabupaten Nias, Sumatera Utara",2,12
66,12.05,"Kabupaten Langkat","Kabupaten Langkat, Sumatera Utara",2,12
67,12.06,"Kabupaten Karo","Kabupaten Karo, Sumatera Utara",2,12
68,12.07,"Kabupaten Deli Serdang","Kabupaten Deli Serdang, Sumatera Utara",2,12
69,12.08,"Kabupaten Simalungun","Kabupaten Simalungun, Sumatera Utara",2,12
70,12.09,"Kabupaten Asahan","Kabupaten Asahan, Sumatera Utara",2,12
71,12.10,"Kabupaten Labuhanbatu","Kabupaten Labuhanbatu, Sumatera Utara",2,12
72,12.11,"Kabupaten Dairi","Kabupaten Dairi, Sumatera Utara",2,12
73,12.12,"Kabupaten Toba","Kabupaten Toba, Sumatera Utara",2,12
74,12.13,"Kabupaten Mandailing Natal","Kabupaten Mandailing Natal, Sumatera Utara",2,12
75,12.14,"Kabupaten Nias Selatan","Kabupaten Nias Selatan, Sumatera Utara",2,12
76,12.15,"Kabupaten Pakpak Bharat","Kabupaten Pakpak Bharat, Sumatera Utara",2,12
77,12.16,"Kabupaten Humbang Hasundutan","Kabupaten Humbang Hasundutan, Sumatera Utara",2,12
78,12.17,"Kabupaten Samosir","Kabupaten Samosir, Sumatera Utara",2,12
79,12.18,"Kabupaten Serdang Bedagai","Kabupaten Serdang Bedagai, Sumatera Utara",2,12
80,12.19,"Kabupaten Batu Bara","Kabupaten Batu Bara, Sumatera Utara",2,12
81,12.20,"Kabupaten Padang Lawas Utara","Kabupaten Padang Lawas Utara, Sumatera Utara",2,12
82,12.21,"Kabupaten Padang Lawas","Kabupaten Padang Lawas, Sumatera Utara",2,12
83,12.22,"Kabupaten Labuhanbatu Selatan","Kabupaten Labuhanbatu Selatan, Sumatera Utara",2,12
84,12.23,"Kabupaten Labuhanbatu Utara","Kabupaten Labuhanbatu Utara, Sumatera Utara",2,12
85,12.24,"Kabupaten Nias Utara","Kabupaten Nias Utara, Sumatera Utara",2,12
86,12.25,"Kabupaten Nias Barat","Kabupaten Nias Barat, Sumatera Utara",2,12
87,12.71,"Kota Medan","Kota Medan, Sumatera Utara",3,12
88,12.72,"Kota Pematangsiantar","Kota Pematangsiantar, Sumatera Utara",3,12
89,12.73,"Kota Sibolga","Kota Sibolga, Sumatera Utara",3,12
90,12.74,"Kota Tanjungbalai","Kota Tanjungbalai, Sumatera Utara",3,12
91,12.75,"Kota Binjai","Kota Binjai, Sumatera Utara",3,12
92,12.76,"Kota Tebing Tinggi","Kota Tebing Tinggi, Sumatera Utara",3,12
93,12.77,"Kota Padangsidimpuan","Kota Padangsidimpuan, Sumatera Utara",3,12
94,12.78,"Kota Gunungsitoli","Kota Gunungsitoli, Sumatera Utara",3,12
95,13.01,"Kabupaten Pesisir Selatan","Kabupaten Pesisir Selatan, Sumatera Barat",2,13
96,13.02,"Kabupaten Solok","Kabupaten Solok, Sumatera Barat",2,13
97,13.03,"Kabupaten Sijunjung","Kabupaten Sijunjung, Sumatera Barat",2,13
98,13.04,"Kabupaten Tanah Datar","Kabupaten Tanah Datar, Sumatera Barat",2,13
99,13.05,"Kabupaten Padang Pariaman","Kabupaten Padang Pariaman, Sumatera Barat",2,13
100,13.06,"Kabupaten Agam","Kabupaten Agam, Sumatera Barat",2,13
101,13.07,"Kabupaten Lima Puluh Kota","Kabupaten Lima Puluh Kota, Sumatera Barat",2,13
102,13.08,"Kabupaten Pasaman","Kabupaten Pasaman, Sumatera Barat",2,13
103,13.09,"Kabupaten Kepulauan Mentawai","Kabupaten Kepulauan Mentawai, Sumatera Barat",2,13
104,13.10,"Kabupaten Dharmasraya","Kabupaten Dharmasraya, Sumatera Barat",2,13
105,13.11,"Kabupaten Solok Selatan","Kabupaten Solok Selatan, Sumatera Barat",2,13
106,13.12,"Kabupaten Pasaman Barat","Kabupaten Pasaman Barat, Sumatera Barat",2,13
107,13.71,"Kota Padang","Kota Padang, Sumatera Barat",3,13
108,13.72,"Kota Solok","Kota Solok, Sumatera Barat",3,13
109,13.73,"Kota Sawahlunto","Kota Sawahlunto, Sumatera Barat",3,13
110,13.74,"Kota Padang Panjang","Kota Padang Panjang, Sumatera Barat",3,13
111,13.75,"Kota Bukittinggi","Kota Bukittinggi, Sumatera Barat",3,13
112,13.76,"Kota Payakumbuh","Kota Payakumbuh, Sumatera Barat",3,13
113,13.77,"Kota Pariaman","Kota Pariaman, Sumatera Barat",3,13
114,14.01,"Kabupaten Kampar","Kabupaten Kampar, Riau",2,14
115,14.02,"Kabupaten Indragiri Hulu","Kabupaten Indragiri Hulu, Riau",2,14
116,14.03,"Kabupaten Bengkalis","Kabupaten Bengkalis, Riau",2,14
117,14.04,"Kabupaten Indragiri Hilir","Kabupaten Indragiri Hilir, Riau",2,14
118,14.05,"Kabupaten Pelalawan","Kabupaten Pelalawan, Riau",2,14
119,14.06,"Kabupaten Rokan Hulu","Kabupaten Rokan Hulu, Riau",2,14
120,14.07,"Kabupaten Rokan Hilir","Kabupaten Rokan Hilir, Riau",2,14
121,14.08,"Kabupaten Siak","Kabupaten Siak, Riau",2,14
122,14.09,"Kabupaten Kuantan Singingi","Kabupaten Kuantan Singingi, Riau",2,14
123,14.10,"Kabupaten Kepulauan Meranti","Kabupaten Kepulauan Meranti, Riau",2,14
124,14.71,"Kota Pekanbaru","Kota Pekanbaru, Riau",3,14
125,14.72,"Kota Dumai","Kota Dumai, Riau",3,14
126,15.01,"Kabupaten Kerinci","Kabupaten Kerinci, Jambi",2,15
127,15.02,"Kabupaten Merangin","Kabupaten Merangin, Jambi",2,15
128,15.03,"Kabupaten Sarolangun","Kabupaten Sarolangun, Jambi",2,15
129,15.04,"Kabupaten Batanghari","Kabupaten Batanghari, Jambi",2,15
130,15.05,"Kabupaten Muaro Jambi","Kabupaten Muaro Jambi, Jambi",2,15
131,15.06,"Kabupaten Tanjung Jabung Barat","Kabupaten Tanjung Jabung Barat, Jambi",2,15
132,15.07,"Kabupaten Tanjung Jabung Timur","Kabupaten Tanjung Jabung Timur, Jambi",2,15
133,15.08,"Kabupaten Bungo","Kabupaten Bungo, Jambi",2,15
134,15.09,"Kabupaten Tebo","Kabupaten Tebo, Jambi",2,15
135,15.71,"Kota Jambi","Kota Jambi, Jambi",3,15
136,15.72,"Kota Sungai Penuh","Kota Sungai Penuh, Jambi",3,15
137,16.01,"Kabupaten Ogan Komering Ulu","Kabupaten Ogan Komering Ulu, Sumatera Selatan",2,16
138,16.02,"Kabupaten Ogan Komering Ilir","Kabupaten Ogan Komering Ilir, Sumatera Selatan",2,16
139,16.03,"Kabupaten Muara Enim","Kabupaten Muara Enim, Sumatera Selatan",2,16
140,16.04,"Kabupaten Lahat","Kabupaten Lahat, Sumatera Selatan",2,16
141,16.05,"Kabupaten Musi Rawas","Kabupaten Musi Rawas, Sumatera Selatan",2,16
142,16.06,"Kabupaten Musi Banyuasin","Kabupaten Musi Banyuasin, Sumatera Selatan",2,16
143,16.07,"Kabupaten Banyuasin","Kabupaten Banyuasin, Sumatera Selatan",2,16
144,16.08,"Kabupaten Ogan Komering Ulu Timur","Kabupaten Ogan Komering Ulu Timur, Sumatera Selatan",2,16
145,16.09,"Kabupaten Ogan Komering Ulu Selatan","Kabupaten Ogan Komering Ulu Selatan, Sumatera Selatan",2,16
146,16.10,"Kabupaten Ogan Ilir","Kabupaten Ogan Ilir, Sumatera Selatan",2,16
147,16.11,"Kabupaten Empat Lawang","Kabupaten Empat Lawang, Sumatera Selatan",2,16
148,16.12,"Kabupaten Penukal Abab Lematang Ilir","Kabupaten Penukal Abab Lematang Ilir, Sumatera Selatan",2,16
149,16.13,"Kabupaten Musi Rawas Utara","Kabupaten Musi Rawas Utara, Sumatera Selatan",2,16
150,16.71,"Kota Palembang","Kota Palembang, Sumatera Selatan",3,16
151,16.72,"Kota Pagar Alam","Kota Pagar Alam, Sumatera Selatan",3,16
152,16.73,"Kota Lubuk Linggau","Kota Lubuk Linggau, Sumatera Selatan",3,16
153,16.74,"Kota Prabumulih","Kota Prabumulih, Sumatera Selatan",3,16
154,17.01,"Kabupaten Bengkulu Selatan","Kabupaten Bengkulu Selatan, Bengkulu",2,17
155,17.02,"Kabupaten Rejang Lebong","Kabupaten Rejang Lebong, Bengkulu",2,17
156,17.03,"Kabupaten Bengkulu Utara","Kabupaten Bengkulu Utara, Bengkulu",2,17
157,17.04,"Kabupaten Kaur","Kabupaten Kaur, Bengkulu",2,17
158,17.05,"Kabupaten Seluma","Kabupaten Seluma, Bengkulu",2,17
159,17.06,"Kabupaten Mukomuko","Kabupaten Mukomuko, Bengkulu",2,17
160,17.07,"Kabupaten Lebong","Kabupaten Lebong, Bengkulu",2,17
161,17.08,"Kabupaten Kepahiang","Kabupaten Kepahiang, Bengkulu",2,17
162,17.09,"Kabupaten Bengkulu Tengah","Kabupaten Bengkulu Tengah, Bengkulu",2,17
163,17.71,"Kota Bengkulu","Kota Bengkulu, Bengkulu",3,17
164,18.01,"Kabupaten Lampung Selatan","Kabupaten Lampung Selatan, Lampung",2,18
165,18.02,"Kabupaten Lampung Tengah","Kabupaten Lampung Tengah, Lampung",2,18
166,18.03,"Kabupaten Lampung Utara","Kabupaten Lampung Utara, Lampung",2,18
167,18.04,"Kabupaten Lampung Barat","Kabupaten Lampung Barat, Lampung",2,18
168,18.05,"Kabupaten Tulang Bawang","Kabupaten Tulang Bawang, Lampung",2,18
169,18.06,"Kabupaten Tanggamus","Kabupaten Tanggamus, Lampung",2,18
170,18.07,"Kabupaten Lampung Timur","Kabupaten Lampung Timur, Lampung",2,18
171,18.08,"Kabupaten Way Kanan","Kabupaten Way Kanan, Lampung",2,18
172,18.09,"Kabupaten Pesawaran","Kabupaten Pesawaran, Lampung",2,18
173,18.10,"Kabupaten Pringsewu","Kabupaten Pringsewu, Lampung",2,18
174,18.11,"Kabupaten Mesuji","Kabupaten Mesuji, Lampung",2,18
175,18.12,"Kabupaten Tulang Bawang Barat","Kabupaten Tulang Bawang Barat, Lampung",2,18
176,18.13,"Kabupaten Pesisir Barat","Kabupaten Pesisir Barat, Lampung",2,18
177,18.71,"Kota Bandar Lampung","Kota Bandar Lampung, Lampung",3,18
178,18.72,"Kota Metro","Kota Metro, Lampung",3,18
179,19.01,"Kabupaten Bangka","Kabupaten Bangka, Kepulauan Bangka Belitung",2,19
180,19.02,"Kabupaten Belitung","Kabupaten Belitung, Kepulauan Bangka Belitung",2,19
181,19.03,"Kabupaten Bangka Selatan","Kabupaten Bangka Selatan, Kepulauan Bangka Belitung",2,19
182,19.04,"Kabupaten Bangka Tengah","Kabupaten Bangka Tengah, Kepulauan Bangka Belitung",2,19
183,19.05,"Kabupaten Bangka Barat","Kabupaten Bangka Barat, Kepulauan Bangka Belitung",2,19
184,19.06,"Kabupaten Belitung Timur","Kabupaten Belitung Timur, Kepulauan Bangka Belitung",2,19
